SITE LOCATION,SITE NAME,planting_location_code,planting_relationships,YEAR,HISTORICAL PRESENCE,DATA TYPE,WATER BODY,SVMP REGION,PROJECT NAME,FUNDING SOURCE,FUNDING SOURCE PROGRAM,CONTRACT 1,CONTRACT 1,CONTRACT 2,CONTRACT 2,CITATION,ACTIVITY TYPE,ACTIVITY FILTER,PLANTING DATE,LATITUDE,LONGITUDE,data_type,retain_drop,DATUM,ELEVATION,PLANTING METHOD,planting_method,PARALLEL SIDE,PERPENDICULAR SIDE,PLOT AREA,PLANTED AREA,EFFECTIVE AREA PLANTED,# OF PLANTING UNITS,# OF SHOOTS,PLOT SHOOT DENSITY ,FOOTPRINT (planted) SHOOT DENSITY ,EFFECTIVE SHOOT DENSITY ,DONOR SITE NAME,NOTES
Joemma Beach State Park,Joemma Beach State Park Mid North - NW - PNNL - large - 2015,JSP_mid_north_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Sequim, WA. PNNL-24445.",large scale,large scale,2015-06-07,47.22338,-122.81067,polygon,retain,WGS84,-1.3,staple,staple,60,40,2400,300,15.00,3000,12000,5,40,800,Windy Bluff and Thompson Cove,"NW corner, north plot, planted 2,900 extra shoots at north end of the 3 middle transects. Thompson Cove plants planted in the south 20m of the transects, Windy Bluff plants planted in the north 20m of the transects, and mix of plants from both donor sites planted in the middle 20m of the transects. See planting diagram."
Joemma Beach State Park,Joemma Beach State Park Mid North - NE - PNNL - large - 2015,JSP_mid_north_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Sequim, WA. PNNL-24445.",large scale,--,2015-06-07,47.22338,-122.81015,polygon,retain,WGS84,-0.5,staple,staple,,,0,,0.00,,,,,,Windy Bluff and Thompson Cove,"NE corner, north plot"
Joemma Beach State Park,Joemma Beach State Park Mid North - SE - PNNL - large - 2015,JSP_mid_north_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Sequim, WA. PNNL-24445.",large scale,--,2015-06-07,47.22283,-122.81015,polygon,retain,WGS84,-1.0,staple,staple,,,0,,0.00,,,,,,Windy Bluff and Thompson Cove,"SE corner, north plot"
Joemma Beach State Park,Joemma Beach State Park Mid North - SW - PNNL - large - 2015,JSP_mid_north_P1,single,2015,,polygon,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Sequim, WA. PNNL-24445.",large scale,--,2015-06-07,47.22283,-122.81067,polygon,retain,WGS84,-1.8,staple,staple,,,0,,0.00,,,,,,Windy Bluff and Thompson Cove,"SW corner, north plot"
Joemma Beach State Park,Joemma Beach State Park - southeast - PNNL - test - 2015,JSP_southeast,single,2015,,point,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-06-09,47.21093,-122.80663,point,retain,WGS84,-1.4,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Windy Bluff and Thompson Cove,"planned, site is between JSP and Taylor Bay"
McNeil Island,McNeil Island - north - PNNL - test - 2015,MCN_north,single,2015,,point,Carr Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-02-26,47.22473,-122.67310,point,retain,WGS84,-0.8,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Ketron Island,
Dyes Inlet,Ostrich Bay - PNNL - test - 2015,OST,single,2015,,point,Dyes Inlet,CPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-02-18,47.59208,-122.67907,point,retain,WGS84,-1.4,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Creosote Point,
Port Gamble Bay,Port Gamble Bay - 1 - PNNL - large scale - N corner,PTG_P1,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,large scale,2015-04-01,47.82347,-122.58203,polygon,retain,WGS84,,staple,staple, 48 , 36 ,1728,240,6.00,1200,4800,3,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - 1 - PNNL - large scale - E corner,PTG_P1,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82320,-122.58155,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 1 - PNNL - large scale - S corner,PTG_P1,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82305,-122.58188,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 1 - PNNL - large scale - W corner,PTG_P1,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82328,-122.58235,polygon,retain,WGS84,-1.8,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 2 - PNNL - large scale - N corner,PTG_P2,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,large scale,2015-04-01,47.82205,-122.58050,polygon,retain,WGS84,,staple,staple, 60 , 36 ,2160,320,7.91,1583,6330,3,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - 2 - PNNL - large scale - E corner,PTG_P2,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82175,-122.57997,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 2 - PNNL - large scale - S corner,PTG_P2,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82152,-122.58022,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 2 - PNNL - large scale - W corner,PTG_P2,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82178,-122.58092,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 3 - PNNL -  large scale - NW corner,PTG_P3,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,large scale,2015-04-01,47.82157,-122.57802,polygon,retain,WGS84,,staple,staple, 60 , 36 ,2160,320,8.00,1600,6400,3,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - 3 - PNNL - large scale - NE corner,PTG_P3,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82152,-122.57722,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 3 - PNNL - large scale - SE corner,PTG_P3,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82118,-122.57712,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 3 - PNNL - large scale - SW corner,PTG_P3,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82122,-122.57792,polygon,retain,WGS84,-1.8,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 4 - PNNL - large scale - NW corner,PTG_P4,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,large scale,2015-04-01,47.82167,-122.57623,polygon,retain,WGS84,,staple,staple, 60 , 36 ,2160,320,7.97,1593,6372,3,20,800,Point Julia,
Port Gamble Bay,Port Gamble Bay - 4 - PNNL - large scale - NE corner,PTG_P4,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82153,-122.57538,polygon,retain,WGS84,-2.7,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 4 - PNNL - large scale - SE corner,PTG_P4,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82122,-122.57528,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Port Gamble Bay,Port Gamble Bay - 4 - PNNL - large scale - SW corner,PTG_P4,single,2015,"NewFields Northwest. 2007. Port Gamble Baseline Investigations: marine natural resources. Prepared for Olympic Property Group, Poulsbo, WA. Pp. 49.
Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.
",polygon,Port Gamble Bay,HDC,Port Gamble Bay Eelgrass Restoration Project,Ecology,Toxics Cleanup Program,C1400158, 14-147,PNNL,IAA 14-293,"Vavrinec, J. and A.B. Borde. 2015. Port Gamble eelgrass restoration project summary. Prepared for the Washington State Department of Ecology contracts IAA C1400158 and IAA 14-147. Pacific Northwest National Laboratory, Richland, WA. PNNL-24432.",large scale,--,2015-04-01,47.82128,-122.57618,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,Point Julia,
Stretch Island,Stretch Island - PNNL - test - 2015,STI,single,2015,,point,Case Inlet,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-03-12,47.32010,-122.83157,point,retain,WGS84,-1.1,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Windy Bluff,"""mega""-bundles were planted with 260 shoots on 26 staples outside of the plot 4 m west of the SW corner, at -1.5m, MLLW"
Zangle Cove,Zangle Cove - NW - PNNL - large - 2015,ZAN_P1,single,2015,personal observation,polygon,Dana Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,large scale,2015-05-04,47.14573,-122.89318,polygon,retain,WGS84,-2.3,staple,staple,55,30,1650,220,11.23,2245,8980,5,41,800,Thompson Cove,See planting diagram
Zangle Cove,Zangle Cove - NE - PNNL - large - 2015,ZAN_P1,single,2015,personal observation,polygon,Dana Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,--,2015-05-04,47.14563,-122.89247,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,,
Zangle Cove,Zangle Cove - SE - PNNL - large - 2015,ZAN_P1,single,2015,personal observation,polygon,Dana Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,--,2015-05-04,47.14540,-122.89255,polygon,retain,WGS84,,staple,staple,,,0,,0.00,,,,,,,
Zangle Cove,Zangle Cove - SW - PNNL - large - 2015,ZAN_P1,single,2015,personal observation,polygon,Dana Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",large scale,--,2015-05-04,47.14555,-122.89323,polygon,retain,WGS84,-1.1,staple,staple,,,0,,0.00,,,,,,,
Zangle Cove,Zangle Cove - SW - PNNL - test - 2015,ZAN_2,single,2015,personal observation,point,Dana Passage,SPS,Eelgrass Restoration in PS,DNR,Aquatic Restoration Program,,,PNNL,IAA 12-317.1,"Aston, L.A., A.B. Borde and J. Vavrinec. 2015. Final Summary Report - Eelgrass Restoration in Puget Sound Project Summary. Pacific Northwest National Laboratory, Richland, WA. PNNL-24445.",test,test,2015-05-06,47.14570,-122.89225,point,retain,WGS84,-2.3,staple,staple,5,5,25,25,0.63,125,500,20,20,800,Thompson Cove,
Anderson Island,Anderson Island West - PNNL - test - 2016,AND_west2,single,2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Nisqually Reach,SPS,Puget Sound Eelgrass Restoration: 3 deltas,USACE,USACE,W912DW-14-2-0009 (93-099566),IAA 15-45,PNNL,93-099661,,test,test,2016-09-20,47.17093,-122.72905,point,retain,WGS84,-1.7,rebar,rebar,2.5,2.5,6.25,6.25,0.50,20,500,80,80,1000,Sandy Point,
Anderson Island,Anderson Island South - PNNL - test - 2016,AND_south1,single,2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Nisqually Reach,SPS,Puget Sound Eelgrass Restoration: 3 deltas,USACE,USACE,W912DW-14-2-0009 (93-099566),IAA 15-45,PNNL,93-099661,,test,test,2016-09-20,47.13263,-122.71812,point,retain,WGS84,-1.9,rebar,rebar,2.5,2.5,6.25,6.25,0.50,20,500,80,80,1000,Sandy Point,Also known as Gaeckle 3
Delano Beach,Delano W T1 - HC - test - 2016,DEL_L1,single,2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Carr Inlet,SPS,Eelgrass Restoration in Puget Sound,WDFW,National Estuary Program,14-02072, IAA 15-110,Hart Crowser,SC 16-17,"Shannon, J., J. Blanchette and J. Gaeckle. 2018. Eelgrass (Zostera marina) Restoration in Puget Sound, WA. Final Restoration and Monitoring Report (12059-05) for US EPA, Hart Crowser, Edmonds, WA. Pp. 131.",test,test,2016-04-21,47.25804,-122.73927,line,retain,WGS84,-2.0,burlap,burlap,25,5,125,75,9.75,156,780,6,10,80,Cutts Island,transect line that includes 3 test plots
Delano Beach,Delano W T2 - HC - test - 2016,DEL_L1,single,2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",point,Carr Inlet,SPS,Eelgrass Restoration in Puget Sound,WDFW,National Estuary Program,14-02072, IAA 15-110,Hart Crowser,SC 16-17,"Shannon, J., J. Blanchette and J. Gaeckle. 2018. Eelgrass (Zostera marina) Restoration in Puget Sound, WA. Final Restoration and Monitoring Report (12059-05) for US EPA, Hart Crowser, Edmonds, WA. Pp. 131.",test,--,2016-04-21,47.25828,-122.73809,line,retain,WGS84,-2.0,burlap,burlap,,,0,,0.00,,,,,,,
Delano Beach,Delano Beach - SE - HC - large - 2016,DEL_P1,single,2016,"Thom, RM, and L Hallum. 1990. Long‐term changes in the areal extent of tidal marshes, eelgrass meadows, and kelp forests of Puget Sound. FRI‐UW‐9008, Fisheries Research Institute, School of Fisheries, University of Washington, Seattle. Pp. 110.",polygon,Carr Inlet,SPS,Eelgrass Restoration in Puget Sound,WDFW,National Estuary Program,14-02072, IAA 15-110,Hart Crowser,SC 16-17,"Shannon, J., J. Blanchette and J. Gaeckle. 2018. Eelgrass (Zostera marina) Restoration in Puget Sound, WA. Final Restoration and Monitoring Report (12059-05) for US EPA, Hart Crowser, Edmonds, WA. Pp. 131.",large scale,large scale,2016-06-14,47.25753,-122.73820,polygon,retain,WGS84,-2.0,burlap,burlap,35,6,210,50.4,78.75,1260,20850,99,414,265,Cutts Island,
