"","group_no","planting_location_code_summ","donor_site_code_summ","planting_method_summ","plantingID","planting_geometry","activity_type","planting_date","planting_location_code","planting_method","parallel_length_m","perpendicular_length_m","plot_area_m2","planted_area_m2","effecive_area_planted_m2","number_planting_units","number_shoots","plot_shoot_density_m2","planted_area_shoot_density_m2","donor_site_code","subproj_code"
"114",114,"JSP_mid_south_2","DPW","rebar","JSP_mid_south_2__2017-05-28__rebar__DPW_r3","point","test",2017-05-28,"JSP_mid_south_2","rebar",2,0.25,0.5,0.5,0.05,2,50,100,100,"DPW","dnr__DNR__unspecified"
"115",115,"JSP_mid_south_2","DPW","burlap","JSP_mid_south_2__2017-05-28__burlap__DPW","point","test",2017-05-28,"JSP_mid_south_2","burlap",2,0.25,0.5,0.5,0.125,2,50,100,100,"DPW","dnr__DNR__unspecified"
"116",116,"JSP_mid_AG1","DMB","staple","JSP_mid_AG1__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_AG1","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"117",117,"JSP_mid_BG1","DMB","staple","JSP_mid_BG1__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_BG1","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"118",118,"JSP_mid_C1","DMB","staple","JSP_mid_C1__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_C1","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"119",119,"JSP_mid_AG2","DMB","staple","JSP_mid_AG2__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_AG2","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"120",120,"JSP_mid_C2","DMB","staple","JSP_mid_C2__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_C2","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"121",121,"JSP_mid_BG2","DMB","staple","JSP_mid_BG2__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_BG2","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"122",122,"JSP_mid_C3","DMB","staple","JSP_mid_C3__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_C3","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"123",123,"JSP_mid_BG3","DMB","staple","JSP_mid_BG3__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_BG3","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"124",124,"JSP_mid_C4","DMB","staple","JSP_mid_C4__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_C4","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"125",125,"JSP_mid_BG4","DMB","staple","JSP_mid_BG4__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_BG4","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"126",126,"JSP_mid_AG3","DMB","staple","JSP_mid_AG3__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_AG3","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"127",127,"JSP_mid_AG4","DMB","staple","JSP_mid_AG4__2017-04-29__staple__DMB","point","test",2017-04-29,"JSP_mid_AG4","staple",1,1,1,0.008,0.015,3,12,12,1500,"DMB","dnr__DNR__unspecified"
"128",128,"JSP_mid_south_2","DPW","rebar","JSP_mid_south_2__2018-06-13__rebar__DPW","point","test",2018-06-13,"JSP_mid_south_2","rebar",4,0.25,1,0.25,0.1,4,100,100,400,"DPW","dnr__DNR__unspecified"
"129",129,"JSP_mid_south_1","DPW","rebar","JSP_mid_south_1__2018-06-13__rebar__DPW","point","test",2018-06-13,"JSP_mid_south_1","rebar",3,0.25,0.75,0.25,0.075,3,75,100,300,"DPW","dnr__DNR__unspecified"
"130",130,"JSP_mid_1","DPW","rebar","JSP_mid_1__2018-07-14__rebar__DPW","point","test",2018-07-14,"JSP_mid_1","rebar",0.5,0.5,0.25,0.25,0.075,3,63,252,252,"DPW","dnr__DNR__unspecified"
"131",131,"JSP_mid_1","DPW","pucks","JSP_mid_1__2018-07-14__pucks__DPW","point","test",2018-07-14,"JSP_mid_1","pucks",0.5,0.5,0.25,0.25,0.07065,9,63,252,252,"DPW","dnr__DNR__unspecified"
"132",132,"JSP_mid_2","DPW","pucks","JSP_mid_2__2018-07-14__pucks__DPW","point","test",2018-07-14,"JSP_mid_2","pucks",0.5,0.5,0.25,0.25,0.07065,9,63,252,252,"DPW","dnr__DNR__unspecified"
"133",133,"JSP_mid_2","DPW","rebar","JSP_mid_2__2018-07-14__rebar__DPW","point","test",2018-07-14,"JSP_mid_2","rebar",0.5,0.5,0.25,0.25,0.075,3,63,252,252,"DPW","dnr__DNR__unspecified"
"134",134,"JSP_mid_3","DPW","rebar","JSP_mid_3__2018-07-14__rebar__DPW","point","test",2018-07-14,"JSP_mid_3","rebar",0.5,0.5,0.25,0.25,0.075,3,63,252,252,"DPW","dnr__DNR__unspecified"
"135",135,"JSP_mid_3","DPW","pucks","JSP_mid_3__2018-07-14__pucks__DPW","point","test",2018-07-14,"JSP_mid_3","pucks",0.5,0.5,0.25,0.25,0.07065,9,63,252,252,"DPW","dnr__DNR__unspecified"
"136",136,"JSP_mid_4","DMB","rebar","JSP_mid_4__2020-07-06__rebar__DMB","point","test",2020-07-06,"JSP_mid_4","rebar",8,0.5,4,1,0.3,12,240,60,240,"DMB","dnr__DNR__unspecified"
"137",137,"WHB_test_1","RKB","rebar","WHB_test_1__2020-06-29__rebar__RKB","point","test",2020-06-29,"WHB_test_1","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"RKB","zos_rec_ps__USACE__PNNL"
"138",138,"JSP_south_test","DPW","rebar","JSP_south_test__2021-06-25__rebar__DPW","point","test",2021-06-25,"JSP_south_test","rebar",3.5,0.5,1.75,2.25,0.225,9,135,77.1428571428571,60,"DPW","dnr__DNR__unspecified"
"139",139,"JSP_mid_connect","DPW","rebar","JSP_mid_connect__2022-06-17__rebar__DPW","point","test",2022-06-17,"JSP_mid_connect","rebar",2.5,0.5,1.25,1.75,0.375,15,180,144,102.857142857143,"DPW","dnr__DNR__unspecified"
"140",140,"HC_off_1","DPW","rebar","HC_off_1__2022-06-17__rebar__DPW","point","test",2022-06-17,"HC_off_1","rebar",1,0.5,0.5,0.25,0.15,6,48,96,192,"DPW","dnr__DNR__unspecified"
"141",141,"HC_off_2","DPW","rebar","HC_off_2__2025-07-10__rebar__DPW","point","test",2025-07-10,"HC_off_2","rebar",32,0.5,16,16,0.8,32,700,43.75,43.75,"DPW","dnr__DNR__unspecified"
"142",142,"KYP_dog1","AND","rebar","KYP_dog1__2020-06-30__rebar__AND","point","test",2020-06-30,"KYP_dog1","rebar",2.5,2.5,6.25,4.75,0.15,19,475,76,100,"AND","zos_rec_ps__USACE__PNNL"
"143",143,"LBT_east","SNH","staple","LBT_east__2013-06-07__staple__SNH","point","test",2013-06-07,"LBT_east","staple",6,6,36,36,0.9,180,720,20,20,"SNH","twentypc__WDFW__PNNL"
"144",144,"LBT_west","SNH","staple","LBT_west__2013-06-07__staple__SNH","point","test",2013-06-07,"LBT_west","staple",5,6,30,30,0.75,150,600,20,20,"SNH","twentypc__WDFW__PNNL"
"145",145,"MCD_south_L1","RKB","turf","MCD_south_L1__2017-05-04__turf__RKB","line","test",2017-05-04,"MCD_south_L1","turf",5,5,25,39,0.99,99,998,39.92,25.5897435897436,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"146",146,"MCD_north_L1","RKB","turf","MCD_north_L1__2017-05-04__turf__RKB","line","test",2017-05-04,"MCD_north_L1","turf",5,5,25,39,0.99,99,994,39.76,25.4871794871795,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"147",147,"MCD_1","AND","rebar","MCD_1__2020-06-30__rebar__AND","point","test",2020-06-30,"MCD_1","rebar",2.5,2.5,6.25,5,0.15,20,500,80,100,"AND","zos_rec_ps__USACE__PNNL"
"148",148,"MCN_north","KTI","staple","MCN_north__2015-02-26__staple__KTI","point","test",2015-02-26,"MCN_north","staple",5,5,25,25,0.625,125,500,20,20,"KTI","zos_rest_ps__DNR__PNNL"
"149",149,"MCN_south_1","SPT","rebar","MCN_south_1__2016-09-21__rebar__SPT","point","test",2016-09-21,"MCN_south_1","rebar",2.5,2.5,6.25,5,0.15,20,500,80,100,"SPT","zos_rec_ps__USFWS__PNNL"
"150",150,"MCN_south_2","SPT","rebar","MCN_south_2__2016-09-21__rebar__SPT","point","test",2016-09-21,"MCN_south_2","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"SPT","zos_rec_ps__USFWS__PNNL"
"151",151,"MCN_south_3","SPT","rebar","MCN_south_3__2016-09-21__rebar__SPT","point","test",2016-09-21,"MCN_south_3","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"SPT","zos_rec_ps__USFWS__PNNL"
"152",152,"MCN_still_1","SPT","rebar","MCN_still_1__2016-09-21__rebar__SPT","point","test",2016-09-21,"MCN_still_1","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"SPT","zos_rec_ps__USFWS__PNNL"
"153",153,"MCN_still_2","SPT","rebar","MCN_still_2__2016-09-21__rebar__SPT","point","test",2016-09-21,"MCN_still_2","rebar",2.5,2,5,5,0.5,20,500,100,100,"SPT","zos_rec_ps__USFWS__PNNL"
"154",154,"MCN_still_2","SPT","staple","MCN_still_2__2016-09-21__staple__SPT","point","test",2016-09-21,"MCN_still_2","staple",2.5,2,5,5,0.625,125,500,100,100,"SPT","zos_rec_ps__USFWS__PNNL"
"155",155,"MCN_north_2","THC","rebar","MCN_north_2__2017-06-07__rebar__THC","point","test",2017-06-07,"MCN_north_2","rebar",2.5,2,5,5,0.5,20,500,100,100,"THC","zos_rec_ps__USFWS__PNNL"
"156",156,"MCN_North_3","THC","rebar","MCN_North_3__2017-06-07__rebar__THC","point","test",2017-06-07,"MCN_North_3","rebar",2.5,2,5,5,0.5,20,500,100,100,"THC","zos_rec_ps__USFWS__PNNL"
"157",157,"MCN_south_L2","THC","rebar","MCN_south_L2__2017-07-06__rebar__THC","line","large scale",2017-07-06,"MCN_south_L2","rebar",24,5,120,58.25,5.825,233,5825,48.5416666666667,100,"THC","zos_rec_ps__USFWS__PNNL"
"158",158,"MCN_south_L1","THC","rebar","MCN_south_L1__2017-07-07__rebar__THC","line","large scale",2017-07-07,"MCN_south_L1","rebar",8,5,40,20,2,80,2000,50,100,"THC","zos_rec_ps__USFWS__PNNL"
"159",159,"MCN_south_L3","THC","rebar","MCN_south_L3__2017-07-08__rebar__THC","line","large scale",2017-07-08,"MCN_south_L3","rebar",16,5,80,40,4,160,4000,50,100,"THC","zos_rec_ps__USFWS__PNNL"
"160",160,"MIL_1","CPT","rebar","MIL_1__2017-08-31__rebar__CPT","point","test",2017-08-31,"MIL_1","rebar",2.5,2.5,6.25,4.5,0.45,18,450,72,100,"CPT","zos_rec_ps__USFWS__PNNL"
"161",161,"MIL_3","CPT","rebar","MIL_3__2017-08-31__rebar__CPT","point","test",2017-08-31,"MIL_3","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"CPT","zos_rec_ps__USFWS__PNNL"
"162",162,"MRE_1","DPW","rebar","MRE_1__2021-05-28__rebar__DPW","point","test",2021-05-28,"MRE_1","rebar",1.5,1,1.5,3.75,0.375,15,300,200,80,"DPW","kingco__KingCounty__unspecified"
"163",163,"MRE_1","DMB","rebar","MRE_1__2021-05-28__rebar__DMB","point","test",2021-05-28,"MRE_1","rebar",1,1,1,3,0.3,12,240,240,80,"DMB","kingco__KingCounty__unspecified"
"164",164,"MRE_2","DPW","rebar","MRE_2__2022-05-17__rebar__DPW_r1","point","test",2022-05-17,"MRE_2","rebar",1,0.5,0.5,1.5,0.15,6,120,240,80,"DPW","kingco__KingCounty__unspecified"
"165",165,"MRE_2","DPW","rebar","MRE_2__2022-05-17__rebar__DPW_r2","point","test",2022-05-17,"MRE_2","rebar",2.5,1,2.5,7.75,0.775,31,620,248,80,"DPW","kingco__KingCounty__unspecified"
"166",166,"OST","CPT","staple","OST__2015-02-18__staple__CPT","point","test",2015-02-18,"OST","staple",5,5,25,25,0.625,125,500,20,20,"CPT","zos_rest_ps__DNR__PNNL"
"167",167,"OTB_1","DPW","rebar","OTB_1__2023-05-07__rebar__DPW","point","test",2023-05-07,"OTB_1","rebar",1.5,0.5,0.75,2.75,0.275,11,150,200,54.5454545454545,"DPW","unaffiliated__unspecified__unspecified"
"168",168,"PEN_L1","RKB","burlap","PEN_L1__2016-05-20__burlap__RKB","point","test",2016-05-20,"PEN_L1","burlap",5,5,25,39,9.75,156,780,31.2,20,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"169",169,"PTG_5","PTJ","staple","PTG_5__2014-11-18__staple__PTJ","point","test",2014-11-18,"PTG_5","staple",5,5,25,25,0.625,125,500,20,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"170",170,"PTG_2","PTJ","staple","PTG_2__2014-11-19__staple__PTJ","point","test",2014-11-19,"PTG_2","staple",5,5,25,25,0.625,125,500,20,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"171",171,"PTG_3","PTJ","staple","PTG_3__2014-11-19__staple__PTJ","point","test",2014-11-19,"PTG_3","staple",5,5,25,25,0.625,125,500,20,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"172",172,"PTG_4","PTJ","staple","PTG_4__2014-11-19__staple__PTJ","point","test",2014-11-19,"PTG_4","staple",5,5,25,25,0.625,125,500,20,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"173",173,"PTG_1","PTJ","staple","PTG_1__2014-11-20__staple__PTJ","point","test",2014-11-20,"PTG_1","staple",5,5,25,25,0.625,125,500,20,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"174",174,"PTG_6","PTJ","staple","PTG_6__2014-11-20__staple__PTJ","point","test",2014-11-20,"PTG_6","staple",5,5,25,25,0.625,125,500,20,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"175",175,"PTG_P1","PTJ","staple","PTG_P1__2015-04-01__staple__PTJ","polygon","large scale",2015-04-01,"PTG_P1","staple",48,36,1728,240,6,1200,4800,2.77777777777778,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"176",176,"PTG_P2","PTJ","staple","PTG_P2__2015-04-01__staple__PTJ","polygon","large scale",2015-04-01,"PTG_P2","staple",60,36,2160,320,7.9125,1582.5,6330,2.93055555555556,19.78125,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"177",177,"PTG_P3","PTJ","staple","PTG_P3__2015-04-01__staple__PTJ","polygon","large scale",2015-04-01,"PTG_P3","staple",60,36,2160,320,8,1600,6400,2.96296296296296,20,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"178",178,"PTG_P4","PTJ","staple","PTG_P4__2015-04-01__staple__PTJ","polygon","large scale",2015-04-01,"PTG_P4","staple",60,36,2160,320,7.965,1593,6372,2.95,19.9125,"PTJ","zos_rest_pgamble__Ecology__PNNL"
"179",179,"QMH_1S","DMB","rebar","QMH_1S__2018-05-30__rebar__DMB","point","test",2018-05-30,"QMH_1S","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"180",180,"QMH_1D","DMB","rebar","QMH_1D__2018-05-30__rebar__DMB","point","test",2018-05-30,"QMH_1D","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"181",181,"QMH_4S","DMB","rebar","QMH_4S__2018-05-30__rebar__DMB","point","test",2018-05-30,"QMH_4S","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"182",182,"QMH_4D","DMB","rebar","QMH_4D__2018-05-30__rebar__DMB","point","test",2018-05-30,"QMH_4D","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"183",183,"QMH_5S","DMB","rebar","QMH_5S__2018-05-31__rebar__DMB","point","test",2018-05-31,"QMH_5S","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"184",184,"QMH_5D","DMB","rebar","QMH_5D__2018-05-31__rebar__DMB","point","test",2018-05-31,"QMH_5D","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"185",185,"QMH_2D","DMB","rebar","QMH_2D__2018-06-01__rebar__DMB","point","test",2018-06-01,"QMH_2D","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"186",186,"QMH_3S","DMB","rebar","QMH_3S__2018-06-01__rebar__DMB","point","test",2018-06-01,"QMH_3S","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"187",187,"QMH_3D","DMB","rebar","QMH_3D__2018-06-01__rebar__DMB","point","test",2018-06-01,"QMH_3D","rebar",12,1,12,7.5,0.75,30,600,50,80,"DMB","zos_rec_ps__USFWS__PNNL"
"188",188,"QMH_4S","DPW","rebar","QMH_4S__2021-05-13__rebar__DPW","point","test",2021-05-13,"QMH_4S","rebar",3.5,0.5,1.75,1,0.3,12,240,137.142857142857,240,"DPW","kingco__KingCounty__unspecified"
"189",189,"QMH_4S","DMB","rebar","QMH_4S__2021-05-14__rebar__DMB","point","test",2021-05-14,"QMH_4S","rebar",4.5,0.5,2.25,1.25,0.375,15,375,166.666666666667,300,"DMB","kingco__KingCounty__unspecified"
"190",190,"QMH_4S","DPW","rebar","QMH_4S__2021-05-26__rebar__DPW_r1","point","test",2021-05-26,"QMH_4S","rebar",2.5,1,2.5,1.5,0.45,18,270,108,180,"DPW","kingco__KingCounty__unspecified"
"191",191,"QMH_5a","DPW","rebar","QMH_5a__2021-05-13__rebar__DPW","point","test",2021-05-13,"QMH_5a","rebar",2.5,0.5,1.25,0.75,0.225,9,180,144,240,"DPW","kingco__KingCounty__unspecified"
"192",192,"QMH_5a","DMB","rebar","QMH_5a__2021-05-14__rebar__DMB","point","test",2021-05-14,"QMH_5a","rebar",2.5,0.5,1.25,0.75,0.225,9,180,144,240,"DMB","kingco__KingCounty__unspecified"
"193",193,"QMH_4S","DPW","rebar","QMH_4S__2021-05-26__rebar__DPW_r2","point","test",2021-05-26,"QMH_4S","rebar",2.5,1,2.5,4.5,0.45,18,360,144,80,"DPW","kingco__KingCounty__unspecified"
"194",194,"QMH_4S","DPW","TERFS","QMH_4S__2022-05-19__TERFS__DPW","point","test",2022-05-19,"QMH_4S","TERFS",1.5,0.5,0.75,0.75,0.75,3,75,100,100,"DPW","kingco__KingCounty__unspecified"
"195",195,"QLC01","QLB","staple","QLC01__2014-11-24__staple__QLB","point","test",2014-11-24,"QLC01","staple",5,5,25,25,0.625,125,500,20,20,"QLB","zos_rest_ps__DNR__PNNL"
"196",196,"QLC_north1","QLB","staple","QLC_north1__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_north1","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"197",197,"QLC_north2","QLB","staple","QLC_north2__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_north2","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"198",198,"QLC_north3","QLB","staple","QLC_north3__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_north3","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"199",199,"QLC_mid1","QLB","staple","QLC_mid1__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_mid1","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"200",200,"QLC_mid2","QLB","staple","QLC_mid2__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_mid2","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"201",201,"QLC_mid3","QLB","staple","QLC_mid3__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_mid3","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"202",202,"QLC_south1","QLB","staple","QLC_south1__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_south1","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"203",203,"QLC_south2","QLB","staple","QLC_south2__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_south2","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"204",204,"QLC_south3","QLB","staple","QLC_south3__2016-06-30__staple__QLB","point","test",2016-06-30,"QLC_south3","staple",2,2,4,4,0.3,60,240,60,60,"QLB","zos_rest_3_deltas__USACE__PNNL"
"205",205,"SHB_1","SHB","rebar","SHB_1__2023-06-04__rebar__SHB","point","test",2023-06-04,"SHB_1","rebar",NA,NA,0,2.25,0.225,9,NA,NA,0,"SHB","unaffiliated__unspecified__unspecified"
"206",206,"SKG_1","SKB","rebar","SKG_1__2016-09-08__rebar__SKB","point","test",2016-09-08,"SKG_1","rebar",2,2,4,5,0.5,20,500,125,100,"SKB","zos_rest_3_deltas__USACE__PNNL"
"207",207,"SKG_2","SKB","rebar","SKG_2__2016-09-08__rebar__SKB","point","test",2016-09-08,"SKG_2","rebar",2,2,4,5,0.5,20,500,125,100,"SKB","zos_rest_3_deltas__USACE__PNNL"
"208",208,"SKG_5","SKB","rebar","SKG_5__2016-09-09__rebar__SKB","point","test",2016-09-09,"SKG_5","rebar",1.5,2,3,4,0.4,16,400,133.333333333333,100,"SKB","zos_rest_3_deltas__USACE__PNNL"
"209",209,"SKG_6","SKB","rebar","SKG_6__2016-09-09__rebar__SKB","point","test",2016-09-09,"SKG_6","rebar",1.5,2,3,4,0.4,16,400,133.333333333333,100,"SKB","zos_rest_3_deltas__USACE__PNNL"
"210",210,"STI","WNB","staple","STI__2015-03-12__staple__WNB","point","test",2015-03-12,"STI","staple",5,5,25,25,0.625,125,500,20,20,"WNB","zos_rest_ps__DNR__PNNL"
"211",211,"TAY_L1","RKB","burlap","TAY_L1__2016-05-19__burlap__RKB","line","test",2016-05-19,"TAY_L1","burlap",25,5,125,75,9.75,156,780,6.24,10.4,"RKB","zos_rest_ps__WDFW__Hart Crowser"
"212",212,"WES_east","PNT","staple","WES_east__2013-06-14__staple__PNT","point","test",2013-06-14,"WES_east","staple",5,95,475,25,0.56,112,448,0.943157894736842,17.92,"PNT","twentypc__WDFW__PNNL"
"213",213,"WES_west","PNT","staple","WES_west__2013-06-14__staple__PNT","point","test",2013-06-14,"WES_west","staple",5,57,285,25,0.59,118,472,1.65614035087719,18.88,"PNT","twentypc__WDFW__PNNL"
"214",214,"WES_A","Mix","rebar","WES_A__2017-06-01__rebar__Mix","point","test",2017-06-01,"WES_A","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"Mix","zos_rec_ps__USFWS__PNNL"
"215",215,"WES_B","BPT","rebar","WES_B__2017-06-01__rebar__BPT","point","test",2017-06-01,"WES_B","rebar",2.5,2.5,6.25,5,0.5,20,500,80,100,"BPT","zos_rec_ps__USFWS__PNNL"
"216",216,"WES_C","MTB","rebar","WES_C__2017-06-02__rebar__MTB","point","test",2017-06-02,"WES_C","rebar",2.5,2.5,6.25,4.75,0.475,19,475,76,100,"MTB","zos_rec_ps__USFWS__PNNL"
"217",217,"WES_D","HRI","rebar","WES_D__2017-06-02__rebar__HRI","point","test",2017-06-02,"WES_D","rebar",3,2.5,7.5,6.18,0.618,24.72,618,82.4,100,"HRI","zos_rec_ps__USFWS__PNNL"
"218",218,"WES_test_1","DMB","rebar","WES_test_1__2020-08-01__rebar__DMB","line","test",2020-08-01,"WES_test_1","rebar",14,1,14,6,0.6,24,640,45.7142857142857,106.666666666667,"DMB","zos_rec_sji__DNR__unspecified"
"219",219,"WES_test_1","FYB","rebar","WES_test_1__2020-08-01__rebar__FYB","line","test",2020-08-01,"WES_test_1","rebar",14,1,14,0.75,0.075,3,60,4.28571428571429,80,"FYB","zos_rec_sji__DNR__unspecified"
"220",220,"WES_test_1","HRI","rebar","WES_test_1__2020-08-01__rebar__HRI","line","test",2020-08-01,"WES_test_1","rebar",14,1,14,2.25,0.225,9,135,9.64285714285714,60,"HRI","zos_rec_sji__DNR__unspecified"
"221",221,"WES_test_1","SHH","rebar","WES_test_1__2020-08-01__rebar__SHH","line","test",2020-08-01,"WES_test_1","rebar",14,1,14,3.75,0.375,15,210,15,56,"SHH","zos_rec_sji__DNR__unspecified"
"222",222,"WES_test_1","Mix","rebar","WES_test_1__2020-08-01__rebar__Mix","line","test",2020-08-01,"WES_test_1","rebar",14,1,14,2.25,0.225,9,275,19.6428571428571,122.222222222222,"Mix","zos_rec_sji__DNR__unspecified"
"223",223,"ZAN_1","THC","staple","ZAN_1__2013-06-06__staple__THC","point","test",2013-06-06,"ZAN_1","staple",5,9,45,45,1.09,218,872,19.3777777777778,19.3777777777778,"THC","twentypc__WDFW__PNNL"
"224",224,"ZAN_P1","THC","staple","ZAN_P1__2015-05-04__staple__THC","polygon","large scale",2015-05-04,"ZAN_P1","staple",55,30,1650,220,11.225,2245,8980,5.44242424242424,40.8181818181818,"THC","zos_rest_ps__DNR__PNNL"
"225",225,"ZAN_2","THC","staple","ZAN_2__2015-05-06__staple__THC","point","test",2015-05-06,"ZAN_2","staple",5,5,25,25,0.625,125,500,20,20,"THC","zos_rest_ps__DNR__PNNL"
"226",226,"ZAN_3","DPW","rebar","ZAN_3__2016-06-06__rebar__DPW","point","test",2016-06-06,"ZAN_3","rebar",0.25,0.25,0.0625,0.25,0.025,1,40,640,160,"DPW","dnr__DNR__unspecified"
"227",227,"ZAN_4","DPW","rebar","ZAN_4__2016-07-21__rebar__DPW","point","test",2016-07-21,"ZAN_4","rebar",4,0.25,1,1,0.1,4,200,200,200,"DPW","dnr__DNR__unspecified"
