"","group_no","loc_code","method"
"187",187,"WES_test_1","rebar"
"188",188,"WES_test_1","rebar"
"189",189,"WES_test_1","rebar"
"190",190,"WES_test_1","rebar"
"191",191,"WES_test_1","rebar"
"192",192,"ZAN_1","staple"
"193",193,"multiple","multiple"
"194",194,"ZAN_2","staple"
"195",195,"ZAN_3","rebar"
"196",196,"ZAN_4","rebar"
