"","donor_site_names"
"1","Ketron Island NW"
"2","Thompson Cove"
"3","Point Julia"
"4","Windy Bluff"
"5","Cutts Island sandspit"
"6","Rocky Point"
"7","Quilcene Bay"
"8","Henry Island"
"9","Bell Point"
"10","Stuart Island"
"11","Mitchell Bay"
"12","Sandy Point"
"13","Rocky Bay"
"14","Dumas Bay"
"15","PNNL - MSL Tanks"
"16","Sandy Hook"
"17","Creosote Point"
"18","Skagit Bay"
"19","DuPont Wharf"
"20","Elwha Delta"
"21","Green Point"
"22","Fay Bainbridge"
"23","Ship Harbor"
"24","Freshwater Bay"
